sample_index,alpha_lpa,beta_lpa,lrr_lpa,alpha_rpa,beta_rpa,lrr_rpa,constant_indicator_lpa,constant_indicator_rpa,eh_lpa,eh_rpa,k1_lpa,k2_lpa,k3_lpa,k1_rpa,k2_rpa,k3_rpa,compliance_label_lpa,compliance_label_rpa,mpa_systolic,mpa_diastolic,mpa_mean,rpa_split,lpa_split
10,0.5443256701242077,0.3441398513512714,6.095658268606646,0.20721792611611023,0.1999893428544166,18.54539779908732,0.0,0.0,0.0,0.0,24330740.776352633,-25.09782541224296,1315693.0121977162,18250114.84819117,-15.21682328503478,1314761.0483257505,Olufsen,Olufsen,4402.077484169632,-385.4957073778609,877.6661354609,0.6738608664324185,0.3261391335675815
11,0.2708852764552999,0.3858844675553086,4.4882364992677815,0.7428900460634806,0.2993255937573747,4.653790271227196,1.0,0.0,125301.85900091597,0.0,0.0,0.0,0.0,29962040.505851567,-24.303847293765482,1475949.3521221317,Constant (1.25e+05),Olufsen,4058.9656500944857,-200.3643940937179,848.7909215600325,0.39115611315538024,0.6088438868446198
12,0.20433113530050584,0.18815396941873194,18.45852766380138,0.5118174689748084,0.6100288698472304,9.501384796895199,0.0,0.0,0.0,0.0,19799071.567024447,-19.24732710474458,607075.1880905121,26888737.47424672,-30.981360326167007,801225.1439417544,Olufsen,Olufsen,4111.400559800292,-266.7585518170148,862.9973433717693,0.3725049696785748,0.6274950303214252
13,0.724014466052893,0.22591450768152302,9.180079616100365,0.15524874321323115,0.18910744881176797,17.136775911705087,0.0,1.0,0.0,98398.39462772096,26818295.555604715,-36.71575414496654,737744.8061875731,0.0,0.0,0.0,Olufsen,Constant (9.84e+04),3971.0756208788944,-69.53754881860853,837.0031851007448,0.5331777542510364,0.4668222457489636
14,0.49458418009604466,0.7316980350905437,10.36232126258609,0.47293188334991965,0.7986474391303758,11.169613228959808,1.0,1.0,102841.60593143337,139843.24654335453,0.0,0.0,0.0,0.0,0.0,0.0,Constant (1.03e+05),Constant (1.40e+05),3942.3791262604473,4.4478211217948,816.0275396688498,0.49961450614136765,0.5003854938586323
15,0.45865851558459336,0.33328343559460316,14.607283001906891,0.4815380475551887,0.6424988299071219,18.266459795183728,1.0,1.0,141329.47507655382,121611.32639896289,0.0,0.0,0.0,0.0,0.0,0.0,Constant (1.41e+05),Constant (1.22e+05),3967.1783963186413,-75.13088833228959,829.8632628032242,0.4486867162980501,0.5513132837019499
16,0.7770455823480724,0.43821942026248983,16.718536578693428,0.13596688106339544,0.5605139743485154,15.880278578006351,1.0,0.0,98068.12154915804,0.0,0.0,0.0,0.0,23999707.752537597,-32.51427450660027,1584123.8753286893,Constant (9.81e+04),Olufsen,4025.2840045577236,-13.120882558819877,830.9471616173524,0.5349381742240521,0.4650618257759479
17,0.2094862762082951,0.3615358935293995,7.538786689650036,0.7918582585463713,0.5036202787801471,16.964601872937536,0.0,1.0,0.0,58807.419249855346,26224212.564447593,-22.478885140337326,724904.5402987952,0.0,0.0,0.0,Olufsen,Constant (5.88e+04),3947.1459054444554,3.7314967158374146,817.1807464917,0.4969361753201499,0.5030638246798501
18,0.5036076095085315,0.6345262968713129,5.859876850478097,0.6395324785717904,0.7264595540495623,11.724890511307404,1.0,0.0,99042.95934098863,0.0,0.0,0.0,0.0,28607437.97158348,-21.554818352459456,694253.3115016996,Constant (9.90e+04),Olufsen,3939.1156233842767,4.51193965614157,815.122048016335,0.4987290750785098,0.5012709249214902
19,0.25370099881317243,0.47937276378980087,10.638417323996668,0.7610460708557403,0.6687108209232344,2.23187912999666,1.0,1.0,61216.980406937684,126430.40614639861,0.0,0.0,0.0,0.0,0.0,0.0,Constant (6.12e+04),Constant (1.26e+05),3960.8135013961664,1.2326763495442785,820.4316011990538,0.4949385870002097,0.5050614129997903
