parameter,branch,compliance_model,parameter_value,baseline_parameter_value,delta_parameter,relative_parameter_change,metric,metric_value,baseline_metric_value,delta_metric,relative_metric_change,sensitivity
alpha,lpa,constant,0.18,0.8,-0.6200000000000001,-0.7750000000000001,mpa_systolic,3977.345190349724,3930.6512619063146,46.69392844340928,0.011879438121601082,-0.015328307253678813
alpha,lpa,constant,0.18,0.8,-0.6200000000000001,-0.7750000000000001,mpa_diastolic,-3.1963093708447343,4.679746225352589,-7.8760555961973235,-1.6830091241975227,2.1716246763839
alpha,lpa,constant,0.18,0.8,-0.6200000000000001,-0.7750000000000001,mpa_mean,823.0820791406138,812.7413177002337,10.340761440380106,0.01272331209841866,-0.016417176901185365
alpha,lpa,constant,0.18,0.8,-0.6200000000000001,-0.7750000000000001,rpa_split,0.48373202000341925,0.5,-0.01626797999658075,-0.0325359599931615,0.04198188386214387
alpha,lpa,constant,0.18,0.8,-0.6200000000000001,-0.7750000000000001,lpa_split,0.5162679799965808,0.5,0.016267979996580806,0.03253595999316161,-0.04198188386214401
alpha,lpa,constant,0.2,0.8,-0.6000000000000001,-0.7500000000000001,mpa_systolic,3966.4148029553926,3930.6512619063146,35.76354104907796,0.009098629887540089,-0.012131506516720117
alpha,lpa,constant,0.2,0.8,-0.6000000000000001,-0.7500000000000001,mpa_diastolic,-0.5252258523563407,4.679746225352589,-5.20497207770893,-1.1122338321490433,1.4829784428653907
alpha,lpa,constant,0.2,0.8,-0.6000000000000001,-0.7500000000000001,mpa_mean,820.7450276765712,812.7413177002337,8.003709976337518,0.009847795112699752,-0.013130393483599668
alpha,lpa,constant,0.2,0.8,-0.6000000000000001,-0.7500000000000001,rpa_split,0.48927246004583913,0.5,-0.01072753995416087,-0.02145507990832174,0.028606773211095646
alpha,lpa,constant,0.2,0.8,-0.6000000000000001,-0.7500000000000001,lpa_split,0.5107275399541609,0.5,0.01072753995416087,0.02145507990832174,-0.028606773211095646
alpha,lpa,constant,0.22,0.8,-0.5800000000000001,-0.7250000000000001,mpa_systolic,3957.9387175436154,3930.6512619063146,27.28745563730081,0.00694222250184229,-0.009575479312885915
alpha,lpa,constant,0.22,0.8,-0.5800000000000001,-0.7250000000000001,mpa_diastolic,1.1679693137686886,4.679746225352589,-3.5117769115839,-0.7504203737712958,1.035062584512132
alpha,lpa,constant,0.22,0.8,-0.5800000000000001,-0.7250000000000001,mpa_mean,818.9871220962112,812.7413177002337,6.24580439597753,0.007684861418945594,-0.010599808853718059
alpha,lpa,constant,0.22,0.8,-0.5800000000000001,-0.7250000000000001,rpa_split,0.4929427979865807,0.5,-0.007057202013419306,-0.014114404026838612,0.019468143485294635
alpha,lpa,constant,0.22,0.8,-0.5800000000000001,-0.7250000000000001,lpa_split,0.5070572020134193,0.5,0.007057202013419306,0.014114404026838612,-0.019468143485294635
alpha,lpa,constant,0.24,0.8,-0.56,-0.7000000000000001,mpa_systolic,3951.505655059487,3930.6512619063146,20.85439315317217,0.005305582144944108,-0.007579403064205867
alpha,lpa,constant,0.24,0.8,-0.56,-0.7000000000000001,mpa_diastolic,2.2770249183847477,4.679746225352589,-2.402721306967841,-0.5134298295815841,0.7334711851165486
alpha,lpa,constant,0.24,0.8,-0.56,-0.7000000000000001,mpa_mean,817.6344628104874,812.7413177002337,4.893145110253727,0.006020544303197937,-0.008600777575997053
alpha,lpa,constant,0.24,0.8,-0.56,-0.7000000000000001,rpa_split,0.49533858441258116,0.5,-0.004661415587418838,-0.009322831174837676,0.013318330249768107
alpha,lpa,constant,0.24,0.8,-0.56,-0.7000000000000001,lpa_split,0.5046614155874188,0.5,0.004661415587418838,0.009322831174837676,-0.013318330249768107
alpha,lpa,constant,0.26,0.8,-0.54,-0.675,mpa_systolic,3946.65106075785,3930.6512619063146,15.99979885153516,0.0040705210880945634,-0.006030401611991945
alpha,lpa,constant,0.26,0.8,-0.54,-0.675,mpa_diastolic,3.0288319247854383,4.679746225352589,-1.6509143005671505,-0.35277859547667345,0.5226349562617384
alpha,lpa,constant,0.26,0.8,-0.54,-0.675,mpa_mean,816.5833629520088,812.7413177002337,3.842045251775062,0.00472726705053789,-0.007003358593389466
