K_tau_r,K_sig_r,K_tau_h,K_sig_h,preop_rpa_split,postop_rpa_split,final_rpa_split,geom_err,t95,stable,n_rhs,K_0,K_1,K_2,K_3
0.0,1e-06,1e-07,1e-07,0.7925915658092677,0.6969591934750073,0.07593018460799528,1.0024904375731931,0.11212367195789108,0,948,0.0,1e-06,1e-07,1e-07
1e-07,1e-07,1e-06,1e-07,0.7925915658092677,0.6969591934750073,0.6953746291177144,0.023682708965959927,0.0,1,44,1e-07,1e-07,1e-06,1e-07
0.0,1e-06,1e-06,1e-07,0.7925915658092677,0.6969591934750073,0.10502192827529304,1.0203614842735667,0.09281390954996147,0,876,0.0,1e-06,1e-06,1e-07
1e-07,1e-07,0.0,0.0,0.7925915658092677,0.6969591934750073,0.11416543559081904,0.9999982972885363,0.32593175030405724,0,705,1e-07,1e-07,0.0,0.0
1e-07,1e-07,1e-06,0.0,0.7925915658092677,0.6969591934750073,-0.03639652903280824,1.9404461512228397,0.4483894401464622,0,1473,1e-07,1e-07,1e-06,0.0
1e-07,1e-06,0.0,1e-06,0.7925915658092677,0.6969591934750073,0.6953756741422457,0.023809561690303422,0.0,1,44,1e-07,1e-06,0.0,1e-06
1e-07,1e-06,0.0,0.0,0.7925915658092677,0.6969591934750073,0.11395046763192172,0.9999984714971523,0.03261338955374493,0,837,1e-07,1e-06,0.0,0.0
1e-07,1e-06,1e-07,1e-06,0.7925915658092677,0.6969591934750073,0.6953756685179933,0.02380835141376959,0.0,1,44,1e-07,1e-06,1e-07,1e-06
1e-07,1e-06,1e-06,0.0,0.7925915658092677,0.6969591934750073,-0.2675048729866265,1.9890502786252293,0.04563149272286792,1,1060,1e-07,1e-06,1e-06,0.0
1e-07,1e-06,0.0,1e-07,0.7925915658092677,0.6969591934750073,0.06935107491446536,1.000333940249852,0.122954836352165,0,1659,1e-07,1e-06,0.0,1e-07
1e-07,1e-06,1e-06,1e-06,0.7925915658092677,0.6969591934750073,0.6953756178545126,0.023797459610513914,0.0,1,44,1e-07,1e-06,1e-06,1e-06
1e-06,0.0,0.0,1e-07,0.7925915658092677,0.6969591934750073,0.6969543072941603,0.011903992712795432,0.0,1,28,1e-06,0.0,0.0,1e-07
1e-06,0.0,0.0,1e-06,0.7925915658092677,0.6969591934750073,0.6969587048904248,0.011900831435943603,0.0,1,28,1e-06,0.0,0.0,1e-06
1e-07,1e-06,1e-07,1e-07,0.7925915658092677,0.6969591934750073,0.07697467716773924,1.002841452779214,0.11213904019653997,0,1985,1e-07,1e-06,1e-07,1e-07
1e-06,0.0,1e-07,1e-07,0.7925915658092677,0.6969591934750073,0.6969543050369339,0.011902949612371785,0.0,1,28,1e-06,0.0,1e-07,1e-07
1e-06,0.0,1e-07,1e-06,0.7925915658092677,0.6969591934750073,0.6969587048678757,0.011900726523985182,0.0,1,28,1e-06,0.0,1e-07,1e-06
1e-07,1e-06,1e-06,1e-07,0.7925915658092677,0.6969591934750073,0.10528432677581594,1.0205825227899934,0.0926710701561522,0,898,1e-07,1e-06,1e-06,1e-07
1e-06,0.0,1e-06,1e-07,0.7925915658092677,0.6969591934750073,0.6969542846428705,0.011893483073236472,0.0,1,28,1e-06,0.0,1e-06,1e-07
1e-06,0.0,1e-06,0.0,0.7925915658092677,0.6969591934750073,0.6920691601006759,0.13042617373250867,0.42119190502707615,1,48,1e-06,0.0,1e-06,0.0
1e-06,0.0,1e-06,1e-06,0.7925915658092677,0.6969591934750073,0.6969587046648547,0.01189978154076476,0.0,1,28,1e-06,0.0,1e-06,1e-06
1e-06,1e-07,0.0,1e-07,0.7925915658092677,0.6969591934750073,0.6953704323703405,0.023744475643623603,0.0,1,44,1e-06,1e-07,0.0,1e-07
