name,time,flow_in,flow_out,pressure_in,pressure_out
branch0_seg0,8.0156402737047897e-02,1.7909108506090405e+02,1.7909108506090405e+02,5.0169800509383529e+05,4.9990709424322628e+05
branch0_seg0,8.1133919843597260e-02,1.8148652367905493e+02,1.8148652367905493e+02,5.0830148947751935e+05,5.0648662424072879e+05
branch0_seg0,8.2111436950146624e-02,1.8388320922641736e+02,1.8388320922641736e+02,5.1490841125989682e+05,5.1306957916763268e+05
branch0_seg0,8.3088954056695988e-02,1.8628192992215995e+02,1.8628192992215995e+02,5.2152094331775582e+05,5.1965812401853414e+05
branch0_seg0,8.4066471163245352e-02,1.8867864179110094e+02,1.8867864179110094e+02,5.2812793766059529e+05,5.2624115124268422e+05
branch0_seg0,8.5043988269794715e-02,1.9106583136309214e+02,1.9106583136309214e+02,5.3470868197192566e+05,5.3279802365829470e+05
branch0_seg0,8.6021505376344093e-02,1.9343520608668803e+02,1.9343520608668803e+02,5.4124031624875753e+05,5.3930596418789064e+05
branch0_seg0,8.6999022482893457e-02,1.9578069974363410e+02,1.9578069974363410e+02,5.4770611780105496e+05,5.4574831080361863e+05
branch0_seg0,8.7976539589442820e-02,1.9810066704168526e+02,1.9810066704168526e+02,5.5410155106628500e+05,5.5212054439586808e+05
branch0_seg0,8.8954056695992184e-02,2.0039844540046658e+02,2.0039844540046658e+02,5.6043581627951434e+05,5.5843183182550978e+05
branch0_seg0,8.9931573802541548e-02,2.0268106727974236e+02,2.0268106727974236e+02,5.6672829976017622e+05,5.6470148908737872e+05
branch0_seg0,9.0909090909090912e-02,2.0495658872498876e+02,2.0495658872498876e+02,5.7300120953735174e+05,5.7095164365010196e+05
branch0_seg0,9.1886608015640275e-02,2.0723100873362236e+02,2.0723100873362236e+02,5.7927108299399004e+05,5.7719877290665370e+05
branch0_seg0,9.2864125122189639e-02,2.0950590479146945e+02,2.0950590479146945e+02,5.8554226877127122e+05,5.8344720972335653e+05
branch0_seg0,9.3841642228739003e-02,2.1177764979166875e+02,2.1177764979166875e+02,5.9180476805589441e+05,5.8968699155797774e+05
branch0_seg0,9.4819159335288367e-02,2.1403850162732016e+02,2.1403850162732016e+02,5.9803723825046432e+05,5.9589685323419119e+05
branch0_seg0,9.5796676441837730e-02,2.1627917914150564e+02,2.1627917914150564e+02,6.0421409407205845e+05,6.0205130228064326e+05
branch0_seg0,9.6774193548387094e-02,2.1849200264021329e+02,2.1849200264021329e+02,6.1031416497633571e+05,6.0812924494993361e+05
branch0_seg0,9.7751710654936458e-02,2.2067347609836384e+02,2.2067347609836384e+02,6.1632781350198190e+05,6.1412107874099829e+05
branch0_seg0,9.8729227761485822e-02,2.2282539141110527e+02,2.2282539141110527e+02,6.2225997935045080e+05,6.2003172543633985e+05
branch0_seg0,9.9706744868035185e-02,2.2495406624783428e+02,2.2495406624783428e+02,6.2812807838491176e+05,6.2587853772243334e+05
branch0_seg0,1.0068426197458455e-01,2.2706799289630328e+02,2.2706799289630328e+02,6.3395552121965832e+05,6.3168484129069536e+05
branch0_seg0,1.0166177908113391e-01,2.2917473645569208e+02,2.2917473645569208e+02,6.3976316249647411e+05,6.3747141513191699e+05
branch0_seg0,1.0263929618768329e-01,2.3127817779976974e+02,2.3127817779976974e+02,6.4556170058564167e+05,6.4324891880764416e+05
branch0_seg0,1.0361681329423265e-01,2.3337706209146879e+02,2.3337706209146879e+02,6.5134767628895363e+05,6.4901390566803876e+05
branch0_seg0,1.0459433040078202e-01,2.3546534061855107e+02,2.3546534061855107e+02,6.5710441517505120e+05,6.5474976176886575e+05
branch0_seg0,1.0557184750733138e-01,2.3753415558714465e+02,2.3753415558714465e+02,6.6280749904216651e+05,6.6043215748629486e+05
branch0_seg0,1.0654936461388075e-01,2.3957474357373894e+02,2.3957474357373894e+02,6.6843276983846410e+05,6.6603702240272681e+05
